,Year,Area,DeathCount,Population
667,2013,New Mexico,764,2083784
668,2013,Arizona,2803,6549634
669,2013,Connecticut,1651,3593795
670,2013,New Jersey,4041,8873211
671,2013,Wyoming,230,576765
672,2013,Minnesota,2333,5380285
673,2013,Montana,495,1005196
674,2013,Idaho,620,1595911
675,2013,District of Columbia,241,635327
676,2013,South Dakota,435,834441
677,2013,Texas,9665,26071655
678,2013,Vermont,345,626444
679,2013,Washington,3112,6895226
680,2013,Wisconsin,2930,5726177
681,2013,Massachusetts,3458,6658008
682,2013,Nebraska,905,1855725
683,2013,New York,9206,19602769
684,2013,North Dakota,348,702087
685,2013,Oregon,2104,3899116
686,2013,Florida,11981,19344156
687,2013,Maryland,2744,5889651
688,2013,Alaska,260,731089
689,2013,Delaware,580,916993
690,2013,Pennsylvania,7712,12771854
691,2013,Rhode Island,628,1052901
692,2013,New Hampshire,750,1321182
693,2013,South Carolina,2865,4720760
694,2013,Virginia,3998,8192048
695,2013,Michigan,5847,9887238
696,2013,Nevada,1313,2752565
697,2013,North Carolina,5458,9746175
698,2013,Georgia,4640,9914668
699,2013,Illinois,6678,12870798
700,2013,Iowa,1749,3076310
701,2013,Kansas,1502,2885262
702,2013,Maine,958,1328895
703,2013,Alabama,3065,4815960
704,2013,Arkansas,2130,2950685
705,2013,Tennessee,4359,6454306
706,2013,West Virginia,1483,1856560
707,2013,Mississippi,1907,2984945
708,2013,Missouri,3992,6025415
709,2013,Ohio,7525,11550839
710,2013,Oklahoma,2380,3817054
711,2013,Indiana,3975,6537743
712,2013,Kentucky,3479,4384799
713,2013,Louisiana,2740,4603429
714,2014,Utah,437,2902663
715,2014,New Mexico,736,2085193
716,2014,Colorado,1561,5267603
717,2014,Wyoming,230,582684
718,2014,California,12464,38335203
719,2014,Arizona,2783,6624617
720,2014,Hawaii,556,1406481
721,2014,Idaho,628,1612011
722,2014,Texas,9439,26473525
723,2014,New York,9074,19673546
724,2014,New Jersey,4006,8899162
725,2014,Washington,3020,6968006
726,2014,Connecticut,1667,3596003
727,2014,Montana,490,1014314
728,2014,Minnesota,2391,5418521
729,2014,Vermont,351,627140
730,2014,South Dakota,415,844922
731,2014,Pennsylvania,7536,12781338
732,2014,Oregon,2008,3925751
733,2014,North Dakota,344,724019
734,2014,New Hampshire,691,1322687
735,2014,Nebraska,913,1868559
736,2014,Virginia,3894,8262692
737,2014,Wisconsin,2932,5742854
738,2014,Massachusetts,3332,6706786
739,2014,Maryland,2672,5931129
740,2014,Kansas,1446,2892821
741,2014,District of Columbia,259,649165
742,2014,Florida,11915,19582022
743,2014,South Carolina,2833,4767894
744,2014,Rhode Island,665,1053033
745,2014,Ohio,7258,11570022
746,2014,North Carolina,5510,9841590
747,2014,Nevada,1335,2786464
748,2014,Alaska,273,736879
749,2014,Delaware,552,925395
750,2014,Michigan,5758,9898982
751,2014,Iowa,1802,3091930
752,2014,Georgia,4594,9984938
753,2014,Illinois,6532,12879505
754,2014,Tennessee,4315,6494821
755,2014,Oklahoma,2490,3852415
756,2014,West Virginia,1437,1853231
757,2014,Alabama,3164,4829479
758,2014,Arkansas,2168,2958663
759,2014,Mississippi,1975,2990482
760,2014,Missouri,4000,6042711
761,2014,Louisiana,2716,4626402
762,2014,Maine,1025,1329076
763,2014,Indiana,4025,6569102
764,2014,Kentucky,3559,4400477
765,2015,Utah,452,2941836
766,2015,California,12284,38680810
767,2015,Colorado,1581,5349648
768,2015,Hawaii,565,1416349
769,2015,New Mexico,736,2083024
770,2015,Wyoming,215,583642
771,2015,Arizona,2707,6719993
772,2015,Idaho,659,1633532
773,2015,Texas,9558,26944751
774,2015,Washington,3036,7054196
775,2015,Connecticut,1654,3591873
776,2015,District of Columbia,244,659005
777,2015,Minnesota,2481,5453109
778,2015,New Jersey,3956,8925001
779,2015,New York,8563,19718515
780,2015,North Dakota,326,739904
781,2015,South Dakota,446,852561
782,2015,Virginia,3900,8317372
783,2015,Wisconsin,2959,5758377
784,2015,Alaska,237,736705
785,2015,Florida,11756,19888741
786,2015,Georgia,4616,10087231
787,2015,Iowa,1675,3108030
788,2015,Maryland,2750,5967295
789,2015,Massachusetts,3302,6749911
790,2015,Montana,559,1022867
791,2015,Nebraska,886,1881145
792,2015,New Hampshire,744,1328743
793,2015,Oregon,1980,3968371
794,2015,Pennsylvania,7426,12790565
795,2015,South Carolina,2773,4828430
796,2015,Tennessee,4434,6544663
797,2015,Vermont,397,626984
798,2015,West Virginia,1496,1848514
799,2015,Alabama,3117,4843214
800,2015,Arkansas,2054,2966912
801,2015,Delaware,549,934948
802,2015,Illinois,6650,12867544
803,2015,Indiana,4048,6595233
804,2015,Kansas,1578,2899360
805,2015,Kentucky,3530,4413057
806,2015,Louisiana,2686,4647880
807,2015,Maine,917,1330719
808,2015,Michigan,5942,9915767
809,2015,Mississippi,1944,2992400
810,2015,Missouri,3984,6060930
811,2015,Nevada,1408,2833013
812,2015,North Carolina,5606,9934399
813,2015,Ohio,7156,11594408
814,2015,Oklahoma,2373,3877499
815,2015,Rhode Island,631,1054480
816,2016,Utah,471,2990632
817,2016,District of Columbia,204,670377
818,2016,California,12381,38993940
819,2016,Colorado,1546,5448819
820,2016,New Mexico,744,2080328
